,name,link,fee,location,Bayern,Baden-Württemberg,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thüringen
0,AOK - Die Gesundheitskasse für Niedersachsen,http://www.aok.de/niedersachsen,1.5,Niedersachsen,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,AOK - Die Gesundheitskasse in Hessen,http://www.aok.de/hessen,1.6,Hessen,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2,AOK Baden-Württemberg,http://www.aok.de/baden-wuerttemberg/index.php,1.6,Baden-Württemberg,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,AOK Bayern - Die Gesundheitskasse,http://www.aok.de/bayern,1.58,Bayern,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,AOK Bremen / Bremerhaven,http://www.aok.de/bremen,1.6,Bremen,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
5,AOK Nordost - Die Gesundheitskasse,http://www.aok.de/nordost/,1.9,"Berlin, Brandenburg, Mecklenburg-Vorpommern",False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False
6,AOK NordWest - Die Gesundheitskasse,http://www.aok.de/nordwest,1.89,"Nordrhein-Westfalen, Schleswig-Holstein",False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
7,AOK PLUS - Die Gesundheitskasse für Sachsen und   Thüringe,http://www.aok.de/aokplus,1.5,"Sachsen, Thüringen",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
8,AOK Rheinland/Hamburg - Die Gesundheitskasse,http://www.aok.de/rheinland-hamburg,1.8,"Hamburg, Nordrhein-Westfalen",False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
9,AOK Rheinland-Pfalz/Saarland-Die Gesundheitskasse,http://www.aok.de/rheinland-pfalz-saarland/,1.8,"Rheinland-Pfalz, Saarland",False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
10,AOK Sachsen-Anhalt - Die Gesundheitskasse,http://www.aok.de/sachsen-anhalt,1.0,Sachsen-Anhalt,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
11,Audi BKK,http://www.Audibkk.de,1.25,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
12,BAHN-BKK,http://www.bahn-bkk.de,1.7,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
13,BARMER,http://www.barmer.de,1.5,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
14,BERGISCHE KRANKENKASSE,http://www.bergische-krankenkasse.de,1.6,"Hamburg, Hessen, Nordrhein-Westfalen",False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False
15,Bertelsmann BKK,http://www.bertelsmann-bkk.de,1.4,"Baden-Württemberg, Bayern, Berlin, Hamburg, Niedersachsen, Nordrhein-Westfalen, Sachsen, Thüringen",True,True,True,False,False,True,False,False,True,True,False,False,True,False,False,True
16,Betriebskrankenkasse Mobil,http://www.mobil-krankenkasse.de,1.49,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
17,BIG direkt gesund,http://www.big-direkt.de,1.45,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
